Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
910,Childhood behavioural disorders,MAR,2019,MLE,ALLAges,18100000,0,0,20462.45,113.05
920,Idiopathic intellectual disability,MAR,2019,MLE,ALLAges,18100000,0,0,28965.5,160.03
700,Breast cancer,MAR,2019,MLE,ALLAges,18100000,0,0,94.21,0.52
710,Cervix uteri cancer,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
720,Corpus uteri cancer,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
730,Ovary cancer,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
560,Iodine deficiency,MAR,2019,MLE,ALLAges,18100000,0,0,4533.72,25.05
570,Vitamin A deficiency,MAR,2019,MLE,ALLAges,18100000,0,0,1920.9,10.61
580,Iron-deficiency anaemia,MAR,2019,MLE,ALLAges,18100000,0,0,29747.73,164.35
990,Migraine,MAR,2019,MLE,ALLAges,18100000,0,0,53828.83,297.4
1000,Non-migraine headache,MAR,2019,MLE,ALLAges,18100000,0,0,10653.9,58.86
1030,Glaucoma,MAR,2019,MLE,ALLAges,18100000,0,0,4794.12,26.49
1040,Cataracts,MAR,2019,MLE,ALLAges,18100000,0,0,13511.87,74.65
1050,Uncorrected refractive errors,MAR,2019,MLE,ALLAges,18100000,0,0,53803.56,297.26
1060,Macular degeneration,MAR,2019,MLE,ALLAges,18100000,0,0,3609.52,19.94
1070,Other vision loss,MAR,2019,MLE,ALLAges,18100000,0,0,21621.93,119.46
1080,Other hearing loss,MAR,2019,MLE,ALLAges,18100000,0,0,66172.6,365.59
1580,Natural disasters,MAR,2019,MLE,ALLAges,18100000,0,0,895.91,4.95
350,Trichuriasis,MAR,2019,MLE,ALLAges,18100000,0,0,44.29,0.24
360,Hookworm disease,MAR,2019,MLE,ALLAges,18100000,0,0,81,0.45
362,Food-bourne trematodes,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
365,Leprosy,MAR,2019,MLE,ALLAges,18100000,0,0,21.82,0.12
410,Otitis media,MAR,2019,MLE,ALLAges,18100000,0.03,0,6044.04,33.39
420,Maternal conditions,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
270,Lymphatic filariasis,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
280,Onchocerciasis,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
285,Cysticercosis,MAR,2019,MLE,ALLAges,18100000,0,0,6.01,0.03
300,Dengue,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
310,Trachoma,MAR,2019,MLE,ALLAges,18100000,0,0,149.73,0.83
315,Yellow fever,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
220,Malaria,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
230,African trypanosomiasis,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
240,Chagas disease,MAR,2019,MLE,ALLAges,18100000,0,0,0,0
60,Chlamydia,MAR,2019,MLE,ALLAges,18100000,0,0,1402.38,7.75
70,Gonorrhoea,MAR,2019,MLE,ALLAges,18100000,0.28,0,473.29,2.61
80,Trichomoniasis,MAR,2019,MLE,ALLAges,18100000,0,0,43.26,0.24
85,Genital herpes,MAR,2019,MLE,ALLAges,18100000,0,0,324.61,1.79
140,Diphtheria,MAR,2019,MLE,ALLAges,18100000,0.51,0,38.16,0.21
150,Measles,MAR,2019,MLE,ALLAges,18100000,0.1,0,171.82,0.95
830,Depressive disorders,MAR,2019,MLE,ALLAges,18100000,0,0,138805.6,766.88
840,Bipolar disorder,MAR,2019,MLE,ALLAges,18100000,0,0,27821.85,153.71
